Latitude,Longitude,Accident_Severity,Date,Day_of_Week,Time,Speed_Limit,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,fatal,serious,slight,in_london
51.513039,-0.204346,3,2005-01-24,2,17:05,30.0,1,1,1,2,0,0,1,True
51.513988,-0.207623,3,2005-01-30,1,20:00,30.0,1,1,1,1,0,0,1,True
51.521988,-0.201543,3,2005-03-02,5,12:30,30.0,9,1,1,2,0,0,1,True
51.478096,-0.189301,3,2005-03-02,5,17:30,30.0,1,1,1,1,0,0,1,True
51.481804,-0.173312,3,2005-06-02,1,15:00,30.0,1,1,1,1,0,0,1,True
51.495806,-0.171599,3,2005-10-02,5,18:10,30.0,2,2,1,1,0,0,1,True
51.509515,-0.197423,3,2005-02-17,5,18:00,30.0,2,2,1,2,0,0,1,True
51.481575,-0.181674,3,2005-02-16,4,10:35,30.0,1,1,1,1,0,0,1,True
51.518806,-0.211037,3,2005-02-16,4,14:10,30.0,1,1,1,1,0,0,1,True
51.494121,-0.202208,3,2005-02-20,1,12:40,30.0,1,1,1,1,0,0,1,True
51.509125,-0.195421,3,2005-02-23,4,19:00,30.0,1,1,1,1,0,0,1,True
51.490178,-0.162461,3,2005-02-25,6,08:22,30.0,3,2,1,1,0,0,1,True
51.493429,-0.169101,3,2005-01-03,3,00:30,30.0,1,2,1,1,0,0,1,True
51.486493,-0.179894,3,2005-03-03,5,14:30,30.0,1,1,1,1,0,0,1,True
51.496259,-0.206734,3,2005-01-03,3,18:31,30.0,2,2,1,1,0,0,1,True
51.510995,-0.200102,2,2005-05-03,7,18:40,30.0,2,2,1,1,0,1,0,True
51.509377,-0.194258,3,2005-06-03,1,01:05,30.0,1,1,1,1,0,0,1,True
51.502577,-0.214123,3,2005-08-03,3,08:56,30.0,1,1,1,1,0,0,1,True
51.516353,-0.209404,3,2005-03-13,1,00:15,30.0,1,1,1,3,0,0,1,True
51.505347,-0.213006,2,2005-09-03,4,09:13,30.0,1,1,1,1,0,1,0,True
51.491571,-0.159524,3,2005-03-20,1,13:45,30.0,1,1,1,1,0,0,1,True
51.491661,-0.15952,3,2005-02-24,5,08:17,30.0,1,1,1,1,0,0,1,True
51.491521,-0.179406,3,2005-03-23,4,18:36,30.0,1,1,1,1,0,0,1,True
51.524177,-0.209385,3,2005-03-31,5,15:12,30.0,1,1,1,1,0,0,1,True
51.501661,-0.160703,3,2005-03-31,5,21:25,30.0,1,2,1,1,0,0,1,True
